Brand,OriginalPrice,Description
DAVID KOMA,913.3333333333334,Top
DE LA VALI,310.1111111111111,Top
DEITAS,781.25,Top
DEREK LAM,815.0,Top
DEVEAUX,626.3333333333334,Top
DIANE VON FURSTENBERG,317.10526315789474,Top
DION LEE,368.3333333333333,Top
DODO BAR OR,523.8,Top
DOLCE & GABBANA,757.0,Top
DOUBLE RAINBOUU,68.0,Top
DRIES VAN NOTEN,597.7272727272727,Top
DUNDAS,1065.0,Top
DÔEN,210.0,Top
ELLERY,658.4,Top
EMILIA WICKSTEAD,582.5,Top
EMILIO PUCCI,590.0,Top
EMMA WILLIS,404.0,Top
ENVELOPE1976,260.5,Top
EQUIPMENT,374.60869565217394,Top
ERDEM,593.75,Top
ERES,470.0,Top
ETRO,686.25,Top
EVE DENIM,316.3333333333333,Top
FAITHFULL THE BRAND,140.57142857142858,Top
FANNIE SCHIAVONI,955.0,Top
FENDI,808.3333333333334,Top
FIGUE,452.5,Top
FLEUR DU MAL,319.3636363636364,Top
FORTE_FORTE,329.44444444444446,Top
FRAME,356.0769230769231,Top
FRANCES DE LOURDES,317.09090909090907,Top
FRANKIE SHOP,136.25,Top
GABRIELA HEARST,1220.0,Top
GALVAN,431.7142857142857,Top
GANNI,220.55555555555554,Top
GAUGE81,259.2,Top
GEORGIA ALICE,302.0,Top
GIAMBATTISTA VALLI,1125.0,Top
GIVENCHY,991.1111111111111,Top
GMBH,500.0,Top
GOLDEN GOOSE,253.125,Top
GOLDSIGN,229.2,Top
GUCCI,1057.3714285714286,Top
HAIDER ACKERMANN,732.5833333333334,Top
HALFPENNY LONDON,1055.5,Top
HALPERN,1450.0,Top
HANDVAERK,136.28571428571428,Top
HANEY,1017.0,Top
HANNAH ARTWEAR,183.66666666666666,Top
HARMUR,261.29411764705884,Top
HATCH,251.4,Top
HEIDI KLEIN,230.0,Top
HELMUT LANG,314.22222222222223,Top
HERVÉ LÉGER,755.0,Top
HOUSE OF HOLLAND,150.66666666666666,Top
INNIKA CHOO,277.0,Top
IRO,458.75,Top
ISABEL MARANT,662.3333333333334,Top
ISABEL MARANT ÉTOILE,271.8181818181818,Top
J BRAND,192.5,Top
J.CREW,81.15384615384616,Top
JACQUEMUS,622.5714285714286,Top
JAMES PERSE,132.82758620689654,Top
JAMES PURDEY & SONS,109.0,Top
JASON WU,332.0,Top
JASON WU COLLECTION,575.0,Top
JENNY PACKHAM,1232.5,Top
JIL SANDER,731.25,Top
JOHANNA ORTIZ,638.2,Top
JONATHAN SIMKHAI,475.0,Top
JOSEPH,371.875,Top
JUNYA WATANABE,1656.5,Top
JW ANDERSON,806.6666666666666,Top
KALITA,265.0,Top
KENZO,229.44444444444446,Top
KHAITE,794.3333333333334,Top
KIKI DE MONTPARNASSE,415.0,Top
KING & TUCKFIELD,172.0,Top
KSUBI,105.0,Top
KWAIDAN EDITIONS,670.0,Top
L'AGENCE,338.3333333333333,Top
