Brand,Category,OriginalPrice,SalePrice
ERDEM,Top,593.75,
ERDEM,Skirt,1502.0,
ERDEM,Pants,796.25,
ERES,Pants,590.0,
ETRO,Top,686.25,
ETRO,Skirt,1261.67,
ETRO,Jacket,1371.0,
ETRO,Pants,567.27,
FENDI,Top,808.33,
FIGUE,Top,452.5,
FIGUE,Pants,466.0,
FLEUR DU MAL,Skirt,409.0,
FLEUR DU MAL,Top,319.36,
FLEUR DU MAL,Pants,415.67,
FORTE_FORTE,Pants,398.75,
FORTE_FORTE,Skirt,503.75,
FORTE_FORTE,Jacket,595.0,
FORTE_FORTE,Top,329.44,
FRAME,Skirt,350.0,
FRAME,Pants,825.83,
FRAME,Top,356.08,
FRAME,Jacket,655.0,
GABRIELA HEARST,Top,1220.0,
GABRIELA HEARST,Pants,1051.43,
GABRIELA HEARST,Skirt,2186.0,
GABRIELA HEARST,Jacket,2250.83,
GANNI,Top,220.56,
GANNI,Pants,400.0,
GANNI,Skirt,254.29,
GANNI,Dress,316.15,
GANNI,Jacket,385.56,
GEORGIA ALICE,Top,302.0,
GEORGIA ALICE,Pants,600.0,
GIAMBATTISTA VALLI,Skirt,1325.0,
GIAMBATTISTA VALLI,Top,1125.0,
GIAMBATTISTA VALLI,Dress,4455.0,
GIVENCHY,Top,991.11,
GIVENCHY,Jacket,2047.0,
GIVENCHY,Skirt,1155.0,
GIVENCHY,Dress,1990.0,
GIVENCHY,Pants,844.29,
GRLFRND,Skirt,181.0,
GUCCI,Top,1057.37,
GUCCI,Pants,1114.72,
HAIDER ACKERMANN,Jacket,1488.0,
HAIDER ACKERMANN,Skirt,755.0,
HAIDER ACKERMANN,Dress,1530.0,
HAIDER ACKERMANN,Pants,893.12,
HAIDER ACKERMANN,Top,732.58,
HANEY,Pants,1369.0,
HANEY,Top,1017.0,
HATCH,Top,251.4,
HELLESSY,Pants,940.0,
HELMUT LANG,Skirt,416.0,
HELMUT LANG,Pants,547.71,
HELMUT LANG,Jacket,825.0,
HELMUT LANG,Top,314.22,
HERVÉ LÉGER,Jacket,1749.0,
HERVÉ LÉGER,Skirt,1306.33,
HERVÉ LÉGER,Top,755.0,
HOUSE OF HOLLAND,Skirt,332.6,
HOUSE OF HOLLAND,Top,150.67,
HOUSE OF HOLLAND,Jacket,604.8,
IRO,Jacket,775.0,
IRO,Top,458.75,
IRO,Pants,1285.0,
IRO,Skirt,552.5,
ISABEL MARANT,Jacket,1278.75,
ISABEL MARANT,Dress,2700.0,
