Brand,Description,SalePrice,OriginalPrice
PROENZA SCHOULER PSWL,Pants,202.0,405.0
PUSHBUTTON,Pants,209.25,430.5
R13,Pants,235.0,470.0
RACHEL GILBERT,Pants,269.0,585.0
RACHEL ZOE,Pants,185.0,386.5
RACIL,Pants,220.0,473.5
RAG & BONE,Pants,224.27272727272728,527.4848484848485
RAOUL,Pants,132.0,255.0
RAQUEL ALLEGRA,Pants,255.6,633.2
RE/DONE,Pants,104.75,269.0
REBECCA MINKOFF,Pants,82.25,201.25
REBECCA TAYLOR,Pants,554.0,1260.0
REBECCA VALLANCE,Pants,137.0,275.0
REDValentino,Pants,239.875,485.625
REJINA PYO,Pants,197.0,395.0
RICK OWENS,Pants,340.53846153846155,687.6923076923077
RICK OWENS LILIES,Pants,217.25,435.0
ROBERT RODRIGUEZ,Pants,198.66666666666666,420.8333333333333
ROBERTO CAVALLI,Pants,313.0,922.7727272727273
ROCHAS,Pants,234.0,391.0
ROKH,Pants,256.3333333333333,497.3333333333333
ROKSANDA,Pants,357.88235294117646,935.5882352941177
ROLAND MOURET,Pants,426.0,1032.9411764705883
RONALD VAN DER KEMP,Pants,582.0,1295.0
ROSETTA GETTY,Pants,366.0,851.25
ROSIE ASSOULIN,Pants,483.1818181818182,1315.4545454545455
RTA,Pants,258.10526315789474,587.6315789473684
SAINT LAURENT,Pants,964.4,1824.4
SANDRO,Pants,126.71428571428571,211.1904761904762
SEA,Pants,152.5,402.5
SEE BY CHLOÉ,Pants,132.0,315.0
SELF-PORTRAIT,Pants,152.0,265.0
SHRIMPS,Pants,155.0,310.0
SID NEIGUM,Pants,180.0,426.6666666666667
SIES MARJAN,Pants,317.25,706.25
SIMON MILLER,Pants,140.5,281.6666666666667
SIMONE ROCHA,Pants,305.0,603.3333333333334
SOLACE LONDON,Pants,212.5,415.0
SONIA RYKIEL,Pants,304.77777777777777,736.6666666666666
SPLENDID,Pants,66.5,175.0
SPRWMN,Pants,525.5,1178.9285714285713
STAND STUDIO,Pants,178.66666666666666,359.6666666666667
STAUD,Pants,67.0,135.0
STELLA JEAN,Pants,199.3,397.7
STELLA McCARTNEY,Pants,264.2142857142857,646.0714285714286
SUNDRY,Pants,70.0,150.83333333333334
TALITHA,Pants,239.0,627.5
TART COLLECTIONS,Pants,72.0,132.66666666666666
TEMPERLEY LONDON,Pants,279.0,644.1666666666666
THE GREAT.,Pants,144.0,287.5
THE RANGE,Pants,147.33333333333334,268.0
THE ROW,Pants,732.1538461538462,1602.8461538461538
THE UPSIDE,Pants,89.66666666666667,163.33333333333334
THEORY,Pants,161.1159420289855,353.768115942029
THOM BROWNE,Pants,382.0,955.0
TIBI,Pants,246.2941176470588,552.0588235294117
TOM FORD,Pants,494.75,1096.25
TOMAS MAIER,Pants,192.0,410.0
TOME,Pants,222.28571428571428,607.8571428571429
TORY BURCH,Pants,162.7,342.0
ULLA JOHNSON,Pants,216.66666666666666,433.3333333333333
VALENTINO,Pants,553.2631578947369,1317.1052631578948
VANESSA BRUNO,Pants,119.93333333333334,286.6666666666667
VERONICA BEARD,Pants,212.0,482.14285714285717
VERSACE,Pants,267.875,770.625
VERSACE COLLECTION,Pants,132.0,279.1666666666667
VERSUS VERSACE,Pants,192.0,385.0
VETEMENTS,Pants,561.0,1100.0
VICTORIA BECKHAM,Pants,434.0,1010.2
"VICTORIA, VICTORIA BECKHAM",Pants,264.82142857142856,555.0
VINCE.,Pants,218.73333333333332,387.0
VIVIENNE WESTWOOD ANGLOMANIA,Pants,194.0,405.0
VIX PAULA HERMANNY,Pants,69.0,230.0
W118 by WALTER BAKER,Pants,90.0,180.0
WALTER BAKER,Pants,269.6,548.0
WILDFOX,Pants,64.93333333333334,134.0
WOLFORD,Pants,96.0,162.5
ZIMMERMANN,Pants,336.21875,662.90625
ZOE KARSSEN,Pants,48.0,120.0
Ç X MIRA MIKATI,Pants,130.0,435.0
ÊTRE CÉCILE,Pants,105.0,215.0
