,UserId,PostId,Followings,Followers,MediaCount,BrandName,BrandCategory,BrandFollowers,Hashtags,Caption,Likes,Comments ,Selfie,BodySnap,Marketing,ProductOnly,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Emotion,Emotion_value
3222,17358486,1171503453771824719,7474,8461,6800,Katespade,Designer,2 756 523,30,116,5,0,0.0,0.01,0.03,0.94,0.01,1.0,0.28,0.0,0.0,0.16,2.1,NaN,0.0
3223,1956691517,1171477697605908767,448,12757,826,Katespade,Designer,2 756 523,29,37,422,9,0.0,0.0,0.01,0.72,0.0,0.94,0.1,0.0,0.0,0.2,1.45,NaN,0.0
3224,703120154,1171478039171853922,4354,43520,25251,Katespade,Designer,2 756 523,30,48,37,0,0.02,0.25,0.03,0.01,0.85,1.0,0.2,0.28,0.01,0.89,2.06,Neutral,0.52
3225,1810661193,1171537521651395375,4524,12181,1160,Katespade,Designer,2 756 523,28,49,36,0,0.0,0.0,0.0,1.0,0.0,0.97,0.15,0.0,0.0,0.08,1.62,NaN,0.0
3226,28704978,1171486055414484773,4685,134764,31303,Katespade,Designer,2 756 523,30,43,36,0,0.01,0.99,0.01,0.0,0.98,0.03,0.0,0.44,0.02,1.06,3.24,Happiness,0.92
3227,703120154,1171537062046887440,4354,43520,25251,Katespade,Designer,2 756 523,30,48,32,0,0.0,0.84,0.61,0.0,1.0,0.99,0.36,0.51,0.27,1.86,5.43,Happiness,1.0
3228,703120154,1171478008125615712,4354,43520,25251,Katespade,Designer,2 756 523,30,48,32,0,0.06,0.84,0.02,0.0,0.98,0.9,0.14,0.53,0.46,1.43,3.22,Happiness,0.97
3229,193734876,1171472934893270134,1857,20717,1791,Katespade,Designer,2 756 523,23,46,311,8,0.0,0.0,0.01,0.91,0.0,0.91,0.05,0.0,0.0,0.22,1.81,NaN,0.0
3230,1504969227,1171435581268431384,6328,8025,3767,Katespade,Designer,2 756 523,26,11,28,1,0.0,0.0,0.0,0.98,0.0,0.97,0.45,0.0,0.0,0.14,0.9,NaN,0.0
3231,1504969227,1171435581268431384,6328,8025,3767,Katespade,Designer,2 756 523,26,11,30,1,0.0,0.0,0.0,0.98,0.0,0.97,0.45,0.0,0.0,0.14,0.9,NaN,0.0
3232,1504969227,1171435581268431384,6328,8025,3767,Katespade,Designer,2 756 523,26,11,31,1,0.0,0.0,0.0,0.98,0.0,0.97,0.45,0.0,0.0,0.14,0.9,NaN,0.0
3233,1956691517,1171475883946916098,448,12757,826,Katespade,Designer,2 756 523,29,74,307,13,0.0,0.0,0.01,0.87,0.0,1.0,0.08,0.0,0.0,0.07,1.48,NaN,0.0
3234,1495781788,1171547542406297242,4650,9572,3213,Katespade,Designer,2 756 523,22,47,3,0,0.0,0.0,0.01,0.95,0.0,0.99,0.13,0.0,0.01,0.2,2.18,NaN,0.0
3235,17358486,1171503600413081169,7474,8461,6800,Katespade,Designer,2 756 523,29,60,3,0,0.0,0.02,0.03,0.77,0.0,0.91,0.31,0.0,0.0,0.3,1.48,NaN,0.0
3236,461992667,1171493356848132504,784,19004,5489,Katespade,Designer,2 756 523,28,32,3,0,0.0,0.0,0.01,1.0,0.0,0.99,0.31,0.0,0.0,0.16,1.84,NaN,0.0
3237,581560527,1171500814603665434,5897,7576,942,Katespade,Designer,2 756 523,20,25,29,0,0.0,0.03,0.01,0.93,0.0,0.3,0.04,0.0,0.03,0.28,2.97,NaN,0.0
3238,703120154,1171523461076643131,4354,43520,25251,Katespade,Designer,2 756 523,30,51,28,0,0.0,0.6,0.45,0.0,0.88,0.17,0.04,0.11,0.0,1.25,2.97,Neutral,0.79
3239,28704978,1171504252184284241,4685,134764,31303,Katespade,Designer,2 756 523,30,42,27,0,0.0,0.94,0.04,0.0,0.91,0.74,0.05,0.2,0.24,0.81,4.57,Neutral,1.0
3240,703120154,1171522713819442478,4354,43520,25251,Katespade,Designer,2 756 523,30,47,26,0,0.0,0.73,0.61,0.0,1.0,0.9,0.13,0.41,0.07,1.67,5.29,Neutral,0.93
3241,703120154,1171477902177496669,4354,43520,25251,Katespade,Designer,2 756 523,30,48,26,0,0.02,0.74,0.0,0.23,0.12,0.5,0.03,0.04,0.02,0.47,2.32,NaN,0.0
